airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,1.0,2018-10-08,Solo Leisure,Economy Class,Yaoundé to Washington via Istanbul,2018-09-01,3.0,3.0,3.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,4.0,2018-10-06,Business,Economy Class,Istanbul to Vienna,2018-10-01,3.0,3.0,3.0,4.0,1.0,3.0,False,neg,False
Turkish Airlines,3.0,2018-09-28,Business,Business Class,London to Addis Ababa via Istanbul,2018-09-01,1.0,3.0,3.0,2.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2018-09-26,Couple Leisure,Economy Class,Istanbul to Neveshir,2018-09-01,2.0,3.0,3.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,2.0,2018-09-24,Business,Economy Class,Istanbul to Geneva,2018-09-01,1.0,2.0,3.0,4.0,3.0,3.0,False,neg,False
Turkish Airlines,9.0,2018-09-23,Couple Leisure,Economy Class,Zagreb to Kayseri via Istanbul,2018-09-01,5.0,5.0,4.0,5.0,4.0,5.0,True,pos,True
Turkish Airlines,9.0,2018-09-22,Couple Leisure,Business Class,Manchester to Ercan via Istanbul,2018-09-01,4.0,4.0,4.0,4.0,3.0,5.0,True,pos,True
Turkish Airlines,1.0,2018-09-20,Couple Leisure,Economy Class,Kiev to Chicago via Istanbul,2018-09-01,2.0,4.0,4.0,4.0,1.0,1.0,True,neg,False
Turkish Airlines,3.0,2018-09-18,Couple Leisure,Economy Class,Venice to Nairobi via Istanbul,2018-08-01,3.0,3.0,3.0,3.0,1.0,3.0,True,neg,False
Turkish Airlines,1.0,2018-09-18,Family Leisure,Economy Class,Gothenburg to Manila via Istanbul,2018-09-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,9.0,2018-09-18,Family Leisure,Economy Class,Istanbul to Dalaman,2018-09-01,4.0,3.0,3.0,3.0,4.0,4.0,False,pos,True
Turkish Airlines,7.0,2018-09-17,Family Leisure,Business Class,Antalya to Istanbul,2018-04-01,4.0,4.0,4.0,3.0,4.0,3.0,False,pos,True
Turkish Airlines,1.0,2018-09-15,Couple Leisure,Economy Class,Antalya to Sydney via Istanbul / Bangkok,2018-09-01,4.0,4.0,4.0,4.0,1.0,3.0,True,neg,False
Turkish Airlines,1.0,2018-09-13,Business,Business Class,Abidjan to Beirut via Istanbul,2018-09-01,3.0,3.0,3.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,10.0,2018-09-12,Family Leisure,Economy Class,Washington to Istanbul,2018-09-01,4.0,5.0,3.0,5.0,4.0,5.0,False,pos,True
Turkish Airlines,1.0,2018-09-11,Solo Leisure,Economy Class,Doha to Aqaba via Istanbul,2018-09-01,3.0,1.0,4.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,7.0,2018-09-10,Solo Leisure,Business Class,Istanbul to New York JFK,2018-07-01,3.0,4.0,4.0,4.0,3.0,4.0,False,pos,True
Turkish Airlines,3.0,2018-09-09,Family Leisure,Economy Class,Dhaka to London via Istanbul,2018-09-01,4.0,1.0,3.0,5.0,1.0,3.0,True,neg,False
Turkish Airlines,7.0,2018-09-09,Solo Leisure,Business Class,Bangkok to London via Istanbul,2018-09-01,3.0,5.0,2.0,4.0,1.0,4.0,True,pos,True
Turkish Airlines,5.0,2018-09-09,Couple Leisure,Business Class,Istanbul to Prague,2018-08-01,4.0,3.0,4.0,3.0,1.0,3.0,False,neu,True
Turkish Airlines,6.0,2018-09-07,Solo Leisure,Business Class,Bangkok to Istanbul,2018-08-01,3.0,4.0,5.0,3.0,4.0,3.0,False,neu,True
Turkish Airlines,10.0,2018-09-05,Solo Leisure,Economy Class,Zürich to Denizli via Istanbul,2018-08-01,5.0,5.0,5.0,5.0,5.0,5.0,True,pos,True
Turkish Airlines,2.0,2018-09-04,Solo Leisure,Economy Class,Berlin to Singapore via Istanbul,2018-03-01,1.0,2.0,4.0,2.0,1.0,3.0,True,neg,False
Turkish Airlines,6.0,2018-09-04,Couple Leisure,Business Class,Bangkok to Amsterdam via Istanbul,2018-08-01,4.0,4.0,4.0,4.0,2.0,4.0,True,neu,True
Turkish Airlines,1.0,2018-09-04,Solo Leisure,Economy Class,Amsterdam to Istanbul,2018-08-01,1.0,1.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,2.0,2018-09-03,Solo Leisure,Economy Class,Lahore to Istanbul,2018-08-01,2.0,4.0,2.0,3.0,1.0,3.0,False,neg,False
Turkish Airlines,1.0,2018-09-03,Solo Leisure,Economy Class,Dubrovnik to Kuala Lumpur via Istanbul,2018-08-01,2.0,3.0,3.0,3.0,1.0,1.0,True,neg,False
